flight,aircraft_type,origin,destination,altitude,speed,engine_temp,fuel,oil_pressure,outside_temp,cabin_pressure,engine_rpm,status
LH123,Airbus A320,Prague,Frankfurt,10500,850,91,22,52,-48,760,89,IN FLIGHT
BA456,Boeing 737,London,Prague,8700,650,101,69,48,-39,758,92,IN FLIGHT
LH7811,Airbus A321,Munich,Vienna,4300,450,81,90,55,-15,761,65,DESCENDING
AF205,Airbus A350,Paris,Rome,9800,820,97,18,44,-45,759,91,IN FLIGHT
KL312,Boeing 787,Amsterdam,New York,11000,870,88,55,53,-56,760,94,CRUISE
FR881,Boeing 737,Brno,London,9200,790,105,12,28,-41,756,98,IN FLIGHT
OS441,Embraer E195,Vienna,Prague,7600,610,95,35,41,-32,759,84,CLIMBING
AZ908,Airbus A320,Rome,Milan,10100,840,99,28,37,-49,760,90,CRUISE
IB552,Airbus A330,Madrid,Prague,8900,770,102,48,32,-38,757,96,IN FLIGHT
LX777,Airbus A220,Zurich,Berlin,11500,890,86,75,58,-57,761,93,CRUISE
TK615,Boeing 777,Istanbul,Prague,9700,830,108,15,25,-43,755,99,IN FLIGHT
SN224,Airbus A319,Brussels,Vienna,6800,590,79,60,57,-28,760,72,DESCENDING
AY391,Airbus A321,Helsinki,Prague,9400,810,100,20,35,-44,758,95,IN FLIGHT
LO145,Embraer E175,Warsaw,Prague,8500,720,92,45,50,-36,760,82,CRUISE
QR901,Boeing 787,Doha,Prague,11800,905,110,10,21,-60,754,100,IN FLIGHT
EK404,Airbus A380,Dubai,Sydney,12000,910,94,82,56,-62,761,97,CRUISE
DL332,Airbus A330,New York,Amsterdam,10800,860,89,63,54,-55,760,92,IN FLIGHT
UA110,Boeing 767,Chicago,London,11200,880,103,26,29,-58,756,98,IN FLIGHT
AC720,Boeing 787,Toronto,Frankfurt,10900,875,87,71,55,-54,760,91,CRUISE
SK550,Airbus A320,Stockholm,Copenhagen,7200,600,84,52,51,-27,760,78,DESCENDING
